,Country Code,region,Variant,Location,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
21,70,Europe,Estimates,Bosnia and Herzegovina,4.82,3.97,3.683,3.1372,2.7332,2.27,2.02,1.861,1.703,1.68,1.318,1.312,1.314
22,72,Africa,Estimates,Botswana,6.5,6.575,6.65,6.7,6.55,6.35,5.95,4.9,4.25,3.675,3.15,2.9,2.875
23,76,Americas,Estimates,Brazil,6.1,6.05,6.0,5.37,4.68,4.28,3.82,3.16,2.72,2.47,2.13,1.86,1.78
24,96,Asia,Estimates,Brunei Darussalam,6.8958,6.8912,6.6631,5.8985,5.4949,4.4501,3.7903,3.4679,3.0786,2.5076,1.9886,1.8,1.9
25,100,Europe,Estimates,Bulgaria,2.5264,2.2969,2.2171,2.1304,2.1573,2.1927,2.0149,1.9458,1.5527,1.2008,1.2404,1.45,1.506
26,854,Africa,Estimates,Burkina Faso,6.1035,6.243,6.35,6.5627,6.7,7.0182,7.1722,7.0658,6.932,6.7293,6.4306,6.0789,5.6462
27,108,Africa,Estimates,Burundi,6.801,6.857,7.071,7.268,7.3,7.436,7.4,7.55,7.4,7.15,6.85,6.5,6.0
28,132,Africa,Estimates,Cabo Verde,6.5663,6.764,6.9728,6.9654,6.8639,6.615,6.1,5.6344,4.9303,4.1449,3.4183,2.887,2.497
29,116,Asia,Estimates,Cambodia,6.947,6.947,6.947,6.7034,6.16,5.421,6.37,5.9896,5.1276,4.25,3.44,3.0813,2.7
30,120,Africa,Estimates,Cameroon,5.489,5.527,5.805,6.085,6.307,6.5,6.702,6.598,6.217,5.75,5.45,5.25,4.95
31,124,Americas,Estimates,Canada,3.645,3.882,3.675,2.61,1.976,1.734,1.634,1.616,1.694,1.562,1.516,1.636,1.61
32,140,Africa,Estimates,Central African Republic,5.516,5.75,5.9,5.95,5.95,5.95,5.95,5.9,5.7,5.55,5.45,5.3,5.1
33,148,Africa,Estimates,Chad,6.1,6.2,6.3,6.4,6.671,6.874,7.037,7.212,7.388,7.407,7.237,6.853,6.31
34,152,Americas,Estimates,Chile,5.1461,5.1664,4.9521,4.442,3.5774,2.9461,2.6992,2.6424,2.4271,2.2054,2.0293,1.944,1.8199
35,156,Asia,Estimates,China,6.025,5.4,6.2,6.25,4.77,3.0,2.55,2.725,1.895,1.51,1.55,1.58,1.6
36,170,Americas,Estimates,Colombia,6.76,6.76,6.76,6.181,4.9005,4.2532,3.7,3.1752,2.842,2.5,2.3,2.1,1.9339
37,174,Africa,Estimates,Comoros,6.0,6.601,6.909,7.05,7.05,7.05,7.05,6.7,6.1,5.6,5.2,4.9,4.6
38,178,Africa,Estimates,Congo,5.684,5.786,5.989,6.192,6.35,6.35,6.0,5.547,5.207,5.125,5.07,5.0,4.86
39,180,Africa,Estimates,Democratic Republic of the Congo,5.98,5.98,6.04,6.15,6.289,6.462,6.5975,6.7069,6.7689,6.77,6.7167,6.6334,6.4
40,188,Americas,Estimates,Costa Rica,5.9462,6.3916,6.28,5.2603,4.0588,3.704,3.5009,3.3066,3.0069,2.6139,2.1674,2.0074,1.8507
41,384,Africa,Estimates,Côte d'Ivoire,7.4513,7.6194,7.7585,7.9037,7.9261,7.8123,7.3125,6.85,6.41,6.05,5.68,5.3975,5.1357
42,191,Europe,Estimates,Croatia,2.73,2.38,2.218,2.003,1.976,1.8986,1.866,1.72,1.523,1.62,1.41,1.522,1.488
43,192,Americas,Estimates,Cuba,4.15,3.6995,4.6805,4.3,3.6,2.15,1.8495,1.8495,1.6506,1.6449,1.5903,1.577,1.7057
